     Value-Weight Local  Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
Date      Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198407   3.03   4.55   0.52   5.41   0.16   2.47  -0.79   7.17   0.00  -1.28
198408   8.11   9.15  11.04   5.27  10.82   9.80  12.20   2.53  12.90   5.70
198409   0.17   0.03  -0.27  -0.04  -2.36   2.08  -2.54   1.37  -2.43   2.27
198410   2.26   0.24   2.41   6.65  -1.02   4.81  -1.47   4.92  -1.15  -4.35
198411  -0.36  -1.43  -0.82  -1.30  -1.67  -2.60  -2.10  -2.57   0.77   0.27
198412  -3.49  -2.51  -4.95  -0.31  -6.31   0.67  -6.38  -0.75  -5.49  -9.15
198501   7.24   7.04   7.59   6.24   7.97   6.53   7.90   8.19   9.64  -7.29
198502   2.46   3.55   3.79   1.86   4.59   2.25   2.12  -0.92   6.55   0.04
198503   4.45   4.81   4.21   2.55   8.33   5.22   9.32   2.50   7.85  15.55
198504   6.23   9.53   1.90   9.56   7.69   9.90   6.96   4.30   5.12  32.05
198505   0.17  -1.27   1.47   2.91  -4.13   0.47  -2.57   3.81  -4.03  -1.07
198506  -1.26  -1.19  -1.25  -0.42  -6.11   1.62  -4.00   0.68  -5.98  -2.96
198507   9.44   8.81   8.10  10.36   6.78   8.26   7.32  14.57   7.57  -2.02
198508  -1.06   0.96  -1.34  -0.11  -5.83   2.90  -2.77  -1.59  -4.90   1.64
198509   6.40   8.05   5.81   9.97   0.26  10.98   0.65   8.48   2.72   2.53
198510   4.04   5.17   4.52   5.69   1.49   6.60   4.39   1.66   2.52   4.01
198511  -4.05  -2.90  -4.32  -3.41  -4.97  -2.23  -5.36  -4.73  -3.14  -9.95
198512   2.01   3.67  -0.83   3.79   1.30   5.60  -2.19   2.16   1.99  -5.52
198601   7.83   8.15   8.73   5.13   9.16   5.93  10.43   6.53  13.71   3.04
198602  -2.41   2.83  -1.79  -3.09  -5.91  -7.31  -2.40   5.90  -4.08  -2.32
198603   8.91  13.19   9.02   6.87   8.79   1.08  10.05   9.42  13.46   2.44
198604   6.38  -1.14   8.59  12.62  -5.02  12.15  -3.17   6.97  -2.38  -6.22
198605   2.93  -0.07   1.09   4.10   1.88   9.81   0.52  -2.87   3.13  -1.16
198606  -5.95  -7.59  -3.91  -6.16  -6.17  -3.20  -6.42  -6.61  -7.33  -3.17
198607  -4.35  -3.40  -6.02  -5.12  -4.15  -5.12   0.24  -3.27  -2.10  -3.20
198608   4.96   3.92   7.48   1.53   6.71   1.18   6.77   4.78  11.36   9.54
198609   5.03   7.41   3.42   2.57  10.63   2.51   5.07   1.89   9.03  12.72
198610  10.76   8.85  13.06   8.92  12.74   8.38  13.57   6.78  15.43  11.91
198611   0.57  -2.97   1.19   2.09  -3.14   1.95  -0.97   3.06  -3.39   6.26
198612   6.40   4.06  11.94   3.93   7.35   4.73  12.14   4.96   7.24   7.52
198701   1.48   0.46   1.13   1.70   0.39   2.06   1.75   2.17   1.27   6.59
